School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Lake Buena Vista High School,https://www.schooldigger.com/go/FL/schools/0144008801/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,11305 Daryl Carter Parkway,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32836,Orange County,(407) 315-7940,9,12,No,No,No,No,2006,90,22.2,34.30%,14.10%,0.10%,8.40%,56.60%,0.40%,1.50%,18.70%,37.4
Winter Haven Senior High School,https://www.schooldigger.com/go/FL/schools/0159001726/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,600 6th St SE,Winter Haven,https://www.schooldigger.com/go/FL/city/Winter+Haven/search.aspx,33880,Polk County,(863) 291-5330,9,12,Yes,No,No,No,2553,111,23,59.20%,30.70%,0.30%,1.70%,32.80%,0.30%,2.80%,31.30%,37.4
Eastside High School,https://www.schooldigger.com/go/FL/schools/0003000028/school.aspx,Alachua,https://www.schooldigger.com/go/FL/district/00030/search.aspx,1201 SE 43rd St,Gainesville,https://www.schooldigger.com/go/FL/city/Gainesville/search.aspx,32641,Alachua County,(352) 955-6704,9,12,No,No,Yes,No,1231,51,24.1,55.90%,55.30%,0.10%,11.50%,6.90%,0.10%,7.30%,18.80%,37.3
Tavares High School,https://www.schooldigger.com/go/FL/schools/0105001102/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,603 N New Hampshire Ave,Tavares,https://www.schooldigger.com/go/FL/city/Tavares/search.aspx,32778,Lake County,(352) 343-3007,9,12,No,No,No,No,1488,64.1,23.2,39.20%,18.10%,0.50%,1.50%,24.60%,0.30%,4.40%,50.60%,37.3
Bartow Senior High School,https://www.schooldigger.com/go/FL/schools/0159001753/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,1270 Broadway Ave S,Bartow,https://www.schooldigger.com/go/FL/city/Bartow/search.aspx,33830,Polk County,(863) 534-7400,9,12,No,No,Yes,No,2243,103,21.7,56.20%,19.90%,0.10%,4.30%,30.50%,0.20%,2.50%,42.40%,37.2
Marathon School,https://www.schooldigger.com/go/FL/schools/0132001296/school.aspx,Monroe,https://www.schooldigger.com/go/FL/district/01320/search.aspx,350 Sombrero Beach Rd,Marathon,https://www.schooldigger.com/go/FL/city/Marathon/search.aspx,33050,Monroe County,(305) 289-2480,6,12,No,No,No,No,772,51,15.1,54.10%,4.10%,0.10%,0.60%,52.70%,0.10%,2.30%,39.90%,37.1
Eagles Nest Charter Academy,https://www.schooldigger.com/go/FL/schools/0018005453/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,3698 NW 15th St,Lauderhill,https://www.schooldigger.com/go/FL/city/Lauderhill/search.aspx,33311,Broward County,(954) 635-2308,KG,12,Yes,Yes,No,No,321,0,,99.10%,91.30%,0.00%,0.00%,6.20%,0.00%,1.60%,0.90%,37
Fort Pierce Central High School,https://www.schooldigger.com/go/FL/schools/0177001933/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,4101 S 25th St,Fort Pierce,https://www.schooldigger.com/go/FL/city/Fort+Pierce/search.aspx,34981,St. Lucie County,(772) 468-5888,9,12,Yes,No,No,No,3187,119.9,26.5,49.60%,29.30%,0.20%,1.50%,40.40%,0.00%,4.20%,24.40%,36.9
Eau Gallie High School,https://www.schooldigger.com/go/FL/schools/0015000109/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,1400 Commodore Blvd,Melbourne,https://www.schooldigger.com/go/FL/city/Melbourne/search.aspx,32935,Brevard County,(321) 242-6400,8,12,No,No,No,No,1490,75,19.8,56.30%,12.00%,0.00%,2.60%,19.90%,0.10%,8.00%,57.40%,36.8
Miami Coral Park Senior High,https://www.schooldigger.com/go/FL/schools/0039000599/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,8865 SW 16th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33165,Miami-Dade County,(305) 226-6565,9,12,Yes,No,Yes,No,2191,94,23.3,50.40%,0.50%,0.00%,0.50%,97.20%,0.00%,0.00%,1.80%,36.8
Riverdale High School,https://www.schooldigger.com/go/FL/schools/0108001157/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,2600 Buckingham Rd,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33905,Lee County,(239) 694-4141,9,12,No,No,No,No,1870,64.3,29,48.10%,7.60%,0.20%,1.20%,46.40%,0.10%,2.10%,42.50%,36.6
Felix Varela Senior High School,https://www.schooldigger.com/go/FL/schools/0039004340/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,15255 SW 96th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33196,Miami-Dade County,(305) 752-7900,9,12,No,No,Yes,No,2006,84,23.8,46.90%,2.10%,0.00%,1.10%,92.30%,0.10%,0.30%,4.00%,36.6
Palmetto High School,https://www.schooldigger.com/go/FL/schools/0123001232/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,1200 17th St W,Palmetto,https://www.schooldigger.com/go/FL/city/Palmetto/search.aspx,34221,Manatee County,(941) 723-4848,9,12,No,No,No,No,2194,92,23.8,61.20%,19.20%,0.00%,1.30%,39.50%,0.00%,4.60%,35.40%,36.6
Wildwood Middle/ High School,https://www.schooldigger.com/go/FL/schools/0180001941/school.aspx,Sumter,https://www.schooldigger.com/go/FL/district/01800/search.aspx,700 Huey St,Wildwood,https://www.schooldigger.com/go/FL/city/Wildwood/search.aspx,34785,Sumter County,(352) 748-1314,6,12,Yes,No,No,No,737,43,17.1,53.50%,37.40%,0.10%,0.50%,20.90%,0.10%,5.00%,35.80%,36.5
Lennard High School,https://www.schooldigger.com/go/FL/schools/0087004872/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,2002 E Shell Point Rd,Ruskin,https://www.schooldigger.com/go/FL/city/Ruskin/search.aspx,33570,Hillsborough County,(813) 641-5611,9,12,Yes,No,Yes,No,2422,101,23.9,47.00%,23.50%,0.20%,1.30%,42.70%,0.20%,4.30%,27.90%,36.2
Vanguard High School,https://www.schooldigger.com/go/FL/schools/0126001277/school.aspx,Marion,https://www.schooldigger.com/go/FL/district/01260/search.aspx,7 NW 28th St,Ocala,https://www.schooldigger.com/go/FL/city/Ocala/search.aspx,34475,Marion County,(352) 671-4900,9,12,Yes,No,Yes,No,1634,72,22.6,58.40%,33.50%,0.20%,5.00%,22.80%,0.40%,3.90%,34.30%,36.1
Bayside High School,https://www.schooldigger.com/go/FL/schools/0015003293/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,1901 Degroodt Rd SW,Palm Bay,https://www.schooldigger.com/go/FL/city/Palm+Bay/search.aspx,32908,Brevard County,(321) 956-5000,9,12,No,No,No,No,2040,93,21.9,50.90%,22.80%,0.30%,1.40%,20.40%,0.10%,6.80%,48.10%,36
Somerset College Preparatory Academy South High School,https://www.schooldigger.com/go/FL/schools/0039008993/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,19701 SW 127th Avenue,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33177,Miami-Dade County,(305) 971-9851,9,12,(n/a),Yes,(n/a),No,194,4,48.5,65.50%,3.10%,0.00%,2.60%,92.30%,0.00%,0.00%,2.10%,36
Rockledge Senior High School,https://www.schooldigger.com/go/FL/schools/0015000090/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,220 Raider Rd,Rockledge,https://www.schooldigger.com/go/FL/city/Rockledge/search.aspx,32955,Brevard County,(321) 636-3711,9,12,No,No,No,No,1547,74.8,20.6,49.70%,24.70%,0.10%,2.40%,18.30%,0.10%,8.70%,45.60%,35.7
Glades Central High School,https://www.schooldigger.com/go/FL/schools/0150001541/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,1001 SW Avenue M,Belle Glade,https://www.schooldigger.com/go/FL/city/Belle+Glade/search.aspx,33430,Palm Beach County,(561) 993-4400,9,12,Yes,No,Yes,No,869,51,17,75.00%,59.80%,0.10%,0.30%,36.90%,0.00%,0.20%,2.50%,35.6
Blanche Ely High School,https://www.schooldigger.com/go/FL/schools/0018000168/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,1201 NW 6th Ave,Pompano Beach,https://www.schooldigger.com/go/FL/city/Pompano+Beach/search.aspx,33060,Broward County,(754) 322-0950,9,12,No,No,Yes,No,1930,79,24.4,56.20%,71.60%,0.10%,0.20%,23.80%,0.10%,1.00%,3.30%,35.6
Spoto High School,https://www.schooldigger.com/go/FL/schools/0087004169/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,8538 Eagle Palm Dr,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33578,Hillsborough County,(813) 672-5405,9,12,Yes,No,No,No,1912,80.5,23.7,55.90%,39.00%,0.30%,1.70%,38.90%,0.20%,4.30%,15.70%,35.6
Port Charlotte High School,https://www.schooldigger.com/go/FL/schools/0024002122/school.aspx,Charlotte,https://www.schooldigger.com/go/FL/district/00240/search.aspx,18200 Cochran Blvd,Port Charlotte,https://www.schooldigger.com/go/FL/city/Port+Charlotte/search.aspx,33948,Charlotte County,(941) 255-7485,9,12,No,No,No,No,1659,80,20.7,62.10%,11.90%,0.10%,2.10%,24.50%,0.70%,7.20%,53.50%,35.5
Hillsborough High School,https://www.schooldigger.com/go/FL/schools/0087000960/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,5000 N Central Ave,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33603,Hillsborough County,(813) 276-5620,9,12,Yes,No,Yes,No,1768,89,19.8,56.10%,29.90%,0.20%,7.40%,43.20%,0.20%,3.50%,15.60%,35.4
Keys Gate Charter High School,https://www.schooldigger.com/go/FL/schools/0039007529/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,2325 SE 28th Ave,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33035,Miami-Dade County,(786) 272-9600,9,12,No,Yes,No,No,731,35,20.8,62.70%,14.10%,0.00%,0.80%,78.10%,0.00%,1.00%,6.00%,35.4
Miami Southridge Senior High,https://www.schooldigger.com/go/FL/schools/0039000614/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,19355 SW 114th Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33157,Miami-Dade County,(305) 238-6110,8,12,Yes,No,Yes,No,2235,96,23.2,64.10%,30.40%,0.20%,0.50%,64.60%,0.10%,1.60%,2.60%,35.3
Avon Park High School,https://www.schooldigger.com/go/FL/schools/0084000906/school.aspx,Highlands,https://www.schooldigger.com/go/FL/district/00840/search.aspx,700 E Main St,Avon Park,https://www.schooldigger.com/go/FL/city/Avon+Park/search.aspx,33825,Highlands County,(863) 452-4311,9,12,Yes,No,No,No,946,48,19.7,75.50%,21.80%,0.10%,1.50%,44.40%,0.30%,3.60%,28.30%,35.3
Northeast High School,https://www.schooldigger.com/go/FL/schools/0018000231/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,700 NE 56th St,Oakland Park,https://www.schooldigger.com/go/FL/city/Oakland+Park/search.aspx,33334,Broward County,(754) 322-1550,9,12,No,No,Yes,No,1589,72,22,55.00%,33.00%,0.10%,1.60%,48.80%,0.10%,1.80%,14.60%,35.2
Eustis High School,https://www.schooldigger.com/go/FL/schools/0105001092/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,1300 E Washington Ave,Eustis,https://www.schooldigger.com/go/FL/city/Eustis/search.aspx,32726,Lake County,(352) 357-7449,9,12,No,No,No,No,1405,71,19.7,37.80%,20.40%,0.40%,0.60%,27.80%,0.00%,4.60%,46.10%,35.2
Global Outreach Charter Academy High School,https://www.schooldigger.com/go/FL/schools/0048008773/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,1252 Fromage Way,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32225,Duval County,(904) 267-3007,9,12,Yes,Yes,No,No,583,0,,54.40%,17.70%,1.00%,2.10%,53.50%,0.70%,3.40%,21.60%,35.1
Plantation High School,https://www.schooldigger.com/go/FL/schools/0018000241/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,6901 NW 16th St,Plantation,https://www.schooldigger.com/go/FL/city/Plantation/search.aspx,33313,Broward County,(754) 322-1850,9,12,No,No,Yes,No,1796,75.5,23.7,49.20%,72.10%,0.30%,1.80%,17.70%,0.20%,2.40%,5.50%,35.1
Dixie M. Hollins High School,https://www.schooldigger.com/go/FL/schools/0156001614/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,4940 62nd St N,Kenneth City,https://www.schooldigger.com/go/FL/city/Kenneth+City/search.aspx,33709,Pinellas County,(727) 547-7876,9,12,No,No,Yes,No,1975,96,20.5,54.30%,13.90%,0.10%,9.60%,22.80%,0.40%,4.70%,48.50%,34.9
Booker High School,https://www.schooldigger.com/go/FL/schools/0168002461/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,3201 N Orange Ave,Sarasota,https://www.schooldigger.com/go/FL/city/Sarasota/search.aspx,34234,Sarasota County,(941) 355-2967,9,12,No,No,Yes,No,1395,73,19,68.20%,23.40%,0.30%,1.40%,47.00%,0.00%,6.90%,21.10%,34.8
Cypress Creek High,https://www.schooldigger.com/go/FL/schools/0144000865/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,1101 Bear Crossing Dr,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32824,Orange County,(407) 852-3400,9,12,No,No,Yes,No,3435,148,23.2,42.10%,14.50%,0.20%,6.00%,68.10%,0.50%,0.80%,10.00%,34.7
North Miami Beach Senior High,https://www.schooldigger.com/go/FL/schools/0039000609/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1247 NE 167th St,North Miami Beach,https://www.schooldigger.com/go/FL/city/North+Miami+Beach/search.aspx,33162,Miami-Dade County,(305) 949-8381,9,12,Yes,No,Yes,No,1076,60,17.9,62.90%,70.30%,0.00%,2.00%,25.50%,0.20%,0.70%,1.40%,34.7
North Marion High School,https://www.schooldigger.com/go/FL/schools/0126001269/school.aspx,Marion,https://www.schooldigger.com/go/FL/district/01260/search.aspx,151 W Highway 329,Citra,https://www.schooldigger.com/go/FL/city/Citra/search.aspx,32113,Marion County,(352) 671-6010,9,12,Yes,No,Yes,No,1259,63,19.9,64.30%,23.00%,0.50%,0.40%,20.70%,0.00%,2.90%,52.50%,34.6
Wharton High School,https://www.schooldigger.com/go/FL/schools/0087003185/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,20150 Bruce B Downs Blvd,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33647,Hillsborough County,(813) 631-4710,9,12,No,No,No,No,2186,99,22,44.70%,31.00%,0.00%,5.80%,31.00%,0.20%,5.40%,26.50%,34.5
Bonita Springs High School,https://www.schooldigger.com/go/FL/schools/0108008599/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,25592 Imperial Pkwy,Bonita Springs,https://www.schooldigger.com/go/FL/city/Bonita+Springs/search.aspx,34135,Lee County,(239) 495-3022,9,12,No,No,Yes,No,1528,54.7,27.9,37.40%,1.50%,0.10%,2.40%,57.60%,0.10%,1.80%,36.60%,34.4
Victory Charter School Tampa 6-12,https://www.schooldigger.com/go/FL/schools/0087010671/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,13901 Sheldon Road,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33625,Hillsborough County,(813) 551-2144,6,12,(n/a),Yes,(n/a),No,157,10,15.7,19.70%,5.10%,0.00%,5.10%,74.50%,0.00%,2.50%,12.70%,34.3
Stranahan High School,https://www.schooldigger.com/go/FL/schools/0018000157/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,1800 SW 5th Pl,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33312,Broward County,(754) 323-2100,9,12,No,No,Yes,No,1328,63,21,56.90%,60.80%,0.30%,0.60%,32.20%,0.00%,1.10%,5.00%,34.2
Crystal River High School,https://www.schooldigger.com/go/FL/schools/0027000314/school.aspx,Citrus,https://www.schooldigger.com/go/FL/district/00270/search.aspx,3195 Crystal River High Dr,Crystal River,https://www.schooldigger.com/go/FL/city/Crystal+River/search.aspx,34428,Citrus County,(352) 795-4641,9,12,No,No,Yes,No,1312,65.5,20,51.40%,4.70%,0.40%,0.60%,8.90%,0.10%,5.60%,79.70%,34.1
Somerset Preparatory Academy High School Homestead,https://www.schooldigger.com/go/FL/schools/0039008749/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3000 SE 9th St,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33035,Miami-Dade County,(786) 509-6901,9,12,No,Yes,No,No,345,8,43.1,80.00%,10.10%,0.30%,0.30%,83.80%,0.00%,0.30%,5.20%,34.1
Miami Northwestern Senior High,https://www.schooldigger.com/go/FL/schools/0039000604/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1100 NW 71st St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33150,Miami-Dade County,(305) 836-0991,9,12,Yes,No,Yes,No,1429,70,20.4,70.30%,81.60%,0.10%,0.10%,16.70%,0.00%,0.70%,0.80%,34.1
Port St. Lucie High School,https://www.schooldigger.com/go/FL/schools/0177002671/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,1201 SE Jaguar Ln,Port St Lucie,https://www.schooldigger.com/go/FL/city/Port+St+Lucie/search.aspx,34952,St. Lucie County,(772) 337-6770,9,12,Yes,No,Yes,No,1811,74.5,24.3,56.60%,28.00%,0.10%,1.80%,32.40%,0.30%,5.80%,31.70%,34
Cypress Lake High School,https://www.schooldigger.com/go/FL/schools/0108001150/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,6750 Panther Ln,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33919,Lee County,(239) 481-2233,9,12,No,No,Yes,No,1507,65.6,22.9,41.40%,15.00%,0.10%,2.20%,36.10%,0.10%,3.50%,43.00%,34
Labelle High School,https://www.schooldigger.com/go/FL/schools/0078000888/school.aspx,Hendry,https://www.schooldigger.com/go/FL/district/00780/search.aspx,4050 E Cowboy Way,Labelle,https://www.schooldigger.com/go/FL/city/Labelle/search.aspx,33935,Hendry County,(863) 674-4120,9,12,No,No,No,No,1415,58,24.3,61.10%,4.50%,0.20%,0.70%,72.20%,0.00%,1.10%,21.40%,34
Hudson High School,https://www.schooldigger.com/go/FL/schools/0153001583/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,14410 Cobra Way,Hudson,https://www.schooldigger.com/go/FL/city/Hudson/search.aspx,34669,Pasco County,(727) 774-4200,9,12,Yes,No,Yes,No,1449,70.2,20.6,56.30%,5.50%,0.60%,0.80%,18.90%,0.10%,5.20%,69.10%,33.9
Mainland High School,https://www.schooldigger.com/go/FL/schools/0192001986/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,1255 W International Speedway,Daytona Beach,https://www.schooldigger.com/go/FL/city/Daytona+Beach/search.aspx,32114,Volusia County,(386) 226-0300,9,12,Yes,No,No,No,1925,92,20.9,70.30%,43.70%,0.00%,2.30%,13.60%,0.00%,6.80%,33.70%,33.8
Eisenhower Middle School,https://www.schooldigger.com/go/FL/schools/0087000946/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,7620 Old Big Bend Rd,Gibsonton,https://www.schooldigger.com/go/FL/city/Gibsonton/search.aspx,33534,Hillsborough County,(813) 671-5121,6,8,Yes,No,No,No,1213,43,28.2,59.10%,37.00%,0.10%,1.60%,36.20%,0.40%,7.20%,17.60%,33.8
Somerset Preparatory Academy Charter High At North Lauderda,https://www.schooldigger.com/go/FL/schools/0018007912/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,7101 Kimberly Blvd,North Lauderdale,https://www.schooldigger.com/go/FL/city/North+Lauderdale/search.aspx,33068,Broward County,(954) 718-5065,9,12,Yes,Yes,No,No,339,7,48.4,88.80%,64.30%,0.00%,0.60%,30.10%,0.00%,1.20%,3.80%,33.8
Central High School,https://www.schooldigger.com/go/FL/schools/0081002604/school.aspx,Hernando,https://www.schooldigger.com/go/FL/district/00810/search.aspx,14075 Ken Austin Pkwy,Brooksville,https://www.schooldigger.com/go/FL/city/Brooksville/search.aspx,34613,Hernando County,(352) 797-7020,9,12,No,No,No,No,1452,79,18.3,57.20%,9.80%,0.10%,1.90%,33.50%,0.10%,5.80%,48.80%,33.8
Westland Hialeah Senior High School,https://www.schooldigger.com/go/FL/schools/0039005861/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,4000 W 18th Ave,Hialeah,https://www.schooldigger.com/go/FL/city/Hialeah/search.aspx,33012,Miami-Dade County,(305) 818-3000,9,12,Yes,No,Yes,No,1106,51,21.6,67.30%,1.30%,0.00%,0.00%,97.60%,0.00%,0.00%,1.10%,33.7
South Dade Senior High School,https://www.schooldigger.com/go/FL/schools/0039000612/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,28401 SW 167th Ave,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33030,Miami-Dade County,(305) 247-4244,9,12,Yes,No,Yes,No,3254,127,25.6,67.70%,15.50%,0.00%,0.60%,79.70%,0.00%,0.60%,3.50%,33.6
Suwannee Virtual School,https://www.schooldigger.com/go/FL/schools/0183008171/school.aspx,Suwannee,https://www.schooldigger.com/go/FL/district/01830/search.aspx,305 Pinewood Dr SW,Live Oak,https://www.schooldigger.com/go/FL/city/Live+Oak/search.aspx,32064,Suwannee County,(386) 647-4655,KG,12,No,No,No,Yes,71,0,,28.20%,12.70%,0.00%,1.40%,16.90%,0.00%,5.60%,63.40%,33.6
