School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
City Honors International Preparatory High,34.7,Inglewood Unified,Inglewood,90301,Los Angeles County,Yes,Yes,No,No,339,12,28.2,0.74,0.55,0.01,0.01,0.43,0,0
Needles High,34.6,Needles Unified,Needles,92363,San Bernardino County,Yes,No,No,No,270,14,19.2,0.71,0.03,0.16,0.01,0.26,0,0.03
Aspire Pacific Academy,34.6,Aspire Pacific Academy District,Huntington Park,90255,Los Angeles County,Yes,Yes,No,No,582,19,30.6,0.94,0,0,0,0.99,0,0.01
Shafter High,34.5,Kern High,Shafter,93263,Kern County,Yes,No,No,No,1703,73.6,23.1,0.83,0.01,0,0.01,0.9,0,0.01
North County Trade Technical High,34.5,North County Trade Technical High District,Vista,92083,San Diego County,Yes,Yes,No,No,148,14.5,10.2,0.52,0.01,0.01,0,0.57,0,0.05
Skyline High,34.5,Oakland Unified,Oakland,94619,Alameda County,Yes,No,No,No,1592,104.2,15.2,0.73,0.32,0.01,0.14,0.37,0.02,0.06
Kern Valley High,34.5,Kern High,Lake Isabella,93240,Kern County,Yes,No,No,No,480,26.5,18,0.73,0.01,0.03,0.01,0.17,0,0.05
Borrego Springs High,34.4,Borrego Springs Unified,Borrego Springs,92004,San Diego County,Yes,No,No,No,121,8.1,14.8,0.86,0.01,0,0.01,0.84,0,0.01
Golden Valley High,34.4,Kern High,Bakersfield,93307,Kern County,Yes,No,No,No,2497,100.6,24.8,0.88,0.06,0.01,0.03,0.85,0,0
Coachella Valley High,34.3,Coachella Valley Unified,Thermal,92274,Riverside County,Yes,No,No,No,2659,107.8,24.6,0.92,0,0,0,0.98,0,0.01
School of Business and Tourism at Contreras Learning Complex,34.3,Los Angeles Unified,Los Angeles,90017,Los Angeles County,Yes,No,No,No,431,21.5,20,0.95,0.02,0,0.03,0.94,0,0
Decoto School for Independent Study,34.3,New Haven Unified,Union City,94587,Alameda County,Yes,No,No,No,121,5.7,21.2,0.47,0.07,0,0.12,0.63,0.02,0.06
Ygnacio Valley High,34.3,Mt. Diablo Unified,Concord,94518,Contra Costa County,Yes,No,No,No,1220,66.2,18.4,0.79,0.04,0,0.08,0.75,0.01,0.03
Academia Avance Charter,34.1,Academia Avance Charter District,Highland Park,90042,Los Angeles County,Yes,Yes,No,No,391,18.6,21,0.95,0,0,0.01,0.92,0,0.06
Fremont Academy of Engineering and Design,34.1,Pomona Unified,Pomona,91766,Los Angeles County,Yes,No,No,No,738,39.9,18.4,0.97,0.02,0,0.03,0.94,0,0
Everett Alvarez High,34.1,Salinas Union High,Salinas,93906,Monterey County,Yes,No,No,No,2664,119.8,22.2,0.69,0.01,0,0.03,0.9,0,0
Natomas High,34.1,Natomas Unified,Sacramento,95834,Sacramento County,Yes,No,No,No,979,51.5,18.9,0.77,0.17,0,0.11,0.57,0.02,0.05
John W. North High,34,Riverside Unified,Riverside,92507,Riverside County,Yes,No,No,No,2228,99,22.4,0.75,0.11,0,0.05,0.71,0,0.03
Options for Youth-San Juan,34,Options for Youth-San Juan District,Carmichael,95608,Sacramento County,(n/a),Yes,No,No,950,47.5,19.9,0.61,0.13,0.01,0.02,0.2,0.01,0.31
WESM Health/Sports Medicine,33.9,Los Angeles Unified,Los Angeles,90045,Los Angeles County,Yes,No,Yes,No,899,43.9,20.4,0.73,0.75,0,0.01,0.2,0,0
Peter Johansen High,33.9,Modesto City High,Modesto,95357,Stanislaus County,Yes,No,No,No,1732,76.4,22.6,0.79,0.03,0.01,0.02,0.68,0.01,0.07
Hoover High,33.9,San Diego Unified,San Diego,92115,San Diego County,Yes,No,No,No,2167,91.6,23.6,0.9,0.09,0,0.12,0.75,0,0.03
Cesar E. Chavez Learning Acads-Academy of Scientific Explr (ASE),33.8,Los Angeles Unified,San Fernando,91340,Los Angeles County,Yes,No,No,No,447,19.8,22.5,0.86,0.01,0,0.01,0.94,0,0
Moreno Valley Online Academy,33.8,Moreno Valley Unified,Moreno Valley,92553,Riverside County,Yes,No,No,Yes,172,7,24.5,0.79,0.2,0,0.01,0.6,0.01,0.04
Desert Hot Springs High,33.7,Palm Springs Unified,Desert Hot Springs,92240,Riverside County,Yes,No,No,No,1770,81.5,21.6,0.85,0.07,0,0.01,0.79,0,0.02
Sylmar Biotech Health and Engineering Magnet,33.7,Los Angeles Unified,Sylmar,91342,Los Angeles County,Yes,No,Yes,No,267,16,16.6,0.99,0.01,0,0.02,0.95,0,0
Rubidoux High,33.5,Jurupa Unified,Riverside,92509,Riverside County,Yes,No,No,No,1546,69.1,22.3,0.75,0.03,0,0.01,0.92,0,0.01
Warner Junior/Senior High,33.5,Warner Unified,Warner Springs,92086,San Diego County,Yes,No,No,No,87,7.1,12.2,0.85,0.02,0.26,0.01,0.35,0,0.07
Diego Rivera Learning Complex Green Design STEAM Academy,33.5,Los Angeles Unified,Los Angeles,90001,Los Angeles County,Yes,No,No,No,515,23.8,21.6,0.97,0.05,0,0,0.95,0,0
Magnolia Science Academy 3,33.4,Magnolia Science Academy 3 District,Carson,90746,Los Angeles County,Yes,Yes,No,No,510,22.6,22.5,0.7,0.43,0,0.01,0.52,0,0.03
LPS Oakland R & D Campus,33.4,LPS Oakland R & D Campus District,Oakland,94605,Alameda County,Yes,Yes,No,No,483,23.1,20.8,0.97,0.08,0,0.02,0.89,0.01,0
TEACH Technical Charter High,33.3,TEACH Technical Charter High District,Los Angeles,90047,Los Angeles County,Yes,Yes,No,No,365,14.6,25,0.93,0.37,0,0,0.62,0,0.01
Santa Maria High,33.3,Santa Maria Joint Union High,Santa Maria,93454,Santa Barbara County,Yes,No,No,No,2720,122.8,22.1,0.84,0.01,0,0.02,0.96,0,0
Leuzinger High,33,Centinela Valley Union High,Lawndale,90260,Los Angeles County,Yes,No,No,No,1925,99.3,19.3,0.84,0.18,0,0.05,0.72,0.02,0.03
Erma Duncan Polytechnical High,32.9,Fresno Unified,Fresno,93726,Fresno County,Yes,No,Yes,No,1092,48.3,22.5,0.9,0.03,0,0.18,0.74,0,0.01
Visalia Charter Independent Study,32.9,Visalia Unified,Visalia,93291,Tulare County,Yes,Yes,No,No,546,54.4,10,0.7,0.02,0.01,0.02,0.67,0,0.05
Strathmore High,32.9,Porterville Unified,Strathmore,93267,Tulare County,Yes,No,No,No,403,18.3,21.9,0.74,0,0,0.01,0.86,0,0.02
Livingston High,32.8,Merced Union High,Livingston,95334,Merced County,Yes,No,No,No,1243,57.8,21.5,0.8,0.01,0.01,0.11,0.83,0,0
Pomona High,32.8,Pomona Unified,Pomona,91767,Los Angeles County,Yes,No,No,No,1099,56,19.6,0.91,0.09,0,0.02,0.85,0,0.01
Humanities and Arts (HARTS) Academy of Los Angeles,32.8,Los Angeles Unified,Harbor City,90710,Los Angeles County,Yes,No,No,No,407,25.5,15.9,0.81,0.28,0,0.05,0.58,0.03,0
Westwood High,32.7,Westwood Unified,Westwood,96137,Lassen County,No,No,No,No,101,6.5,15.4,0.61,0.02,0.06,0,0.22,0,0.03
Pacific Beach High,32.5,San Luis Coastal Unified,San Luis Obispo,93405,San Luis Obispo County,Yes,No,No,No,38,2.1,17.5,0.76,0.03,0,0.03,0.45,0,0.03
Palo Verde High,32.5,Palo Verde Unified,Blythe,92225,Riverside County,Yes,No,No,No,843,38.9,21.6,0.71,0.06,0.01,0.01,0.65,0,0.03
New Millennium Secondary,32.3,New Millennium Secondary District,Gardena,90248,Los Angeles County,Yes,Yes,No,No,195,10,19.5,0.62,0.36,0,0.02,0.58,0.02,0.01
Robert Fulton College Preparatory,32.3,Los Angeles Unified,Van Nuys,91405,Los Angeles County,Yes,No,No,No,1443,59.3,24.3,0.93,0.02,0,0.06,0.88,0,0
Desert Sands Charter,32.2,Desert Sands Charter District,Lancaster,93534,Los Angeles County,(n/a),Yes,No,No,834,36.8,22.6,0.79,0.17,0.01,0,0.53,0,0.06
Gateway Educational Options,32.1,Gateway Unified,Redding,96003,Shasta County,Yes,No,No,No,62,3,20.6,0.76,0.05,0.02,0.07,0.11,0.02,0.05
Murrieta Canyon Academy,32,Murrieta Valley Unified,Murrieta,92563,Riverside County,No,No,No,No,287,14,20.5,0.41,0.06,0.01,0.05,0.31,0.01,0.06
Community Collaborative Charter,31.8,Community Collaborative Charter District,McClellan,95652,Sacramento County,Yes,Yes,No,No,464,25.6,18,0.85,0.11,0.01,0.02,0.41,0.01,0.08
Banning High,31.8,Banning Unified,Banning,92220,Riverside County,Yes,No,No,No,1090,52.1,20.9,0.82,0.09,0.04,0.07,0.67,0,0.02
Luis Valdez Leadership Academy,31.7,Luis Valdez Leadership Academy District,San Jose,95122,Santa Clara County,Yes,Yes,No,No,363,14,25.9,0.76,0,0,0,0.95,0,0.03
Opportunities for Learning - Baldwin Park,31.7,Opportunities for Learning - Baldwin Park District,Irwindale,91706,Los Angeles County,(n/a),Yes,No,Yes,3408,140.9,24.1,0.63,0.12,0.03,0.02,0.38,0,0.34
Laton High,31.6,Laton Joint Unified,Laton,93242,Fresno County,Yes,No,No,No,183,14.7,12.4,0.81,0.01,0,0,0.84,0,0.07
Millennium High Alternative,31.6,Piedmont City Unified,Piedmont,94611,Alameda County,Yes,No,No,No,65,5.8,11.2,0.17,0.15,0.02,0.08,0.23,0,0.12
Patterson High,31.5,Patterson Joint Unified,Patterson,95363,Stanislaus County,Yes,No,No,No,1723,80.6,21.3,0.72,0.06,0,0.05,0.73,0.02,0.02
Valley Charter High,31.5,Valley Charter High District,Modesto,95350,Stanislaus County,Yes,Yes,No,No,118,8.1,14.5,0.51,0.03,0.01,0.01,0.4,0.03,0.09
Open Valley Independent Study,31.4,Patterson Joint Unified,Patterson,95363,Stanislaus County,Yes,No,No,No,81,2.5,31.5,0.65,0.05,0.01,0,0.69,0.01,0.05
Theodore Roosevelt Senior High,31.4,Los Angeles Unified,Los Angeles,90033,Los Angeles County,Yes,No,No,No,1278,65.3,19.5,0.95,0,0,0.01,0.99,0,0
Envision Academy for Arts & Technology,31.4,Envision Academy for Arts & Technology District,Oakland,94612,Alameda County,Yes,Yes,No,No,385,18.5,20.8,0.8,0.33,0.01,0.02,0.56,0.01,0.04
West Adams Preparatory High,31.4,Los Angeles Unified,Los Angeles,90007,Los Angeles County,Yes,No,No,No,1350,67.5,19.9,0.93,0.06,0,0.01,0.92,0,0
El Sereno Alternative Education,31.4,San Juan Unified,Fair Oaks,95628,Sacramento County,No,No,No,No,197,11.6,16.8,0.51,0.03,0.02,0.02,0.19,0.01,0.04
Oakland Military Institute College Preparatory Academy,31.3,Oakland Military InstituteCollege Preparatory Academy Distr,Oakland,94608,Alameda County,Yes,Yes,No,No,743,39.2,18.9,0.77,0.17,0,0.17,0.6,0,0.03
Tehama eLearning Academy,31.2,Tehama County Department of Education,Red Bluff,96080,Tehama County,No,Yes,No,Yes,101,4.4,22.9,0.8,0,0.04,0.02,0.24,0,0.06
Countryside Community Day,31.2,Tulare Joint Union High,Tulare,93274,Tulare County,Yes,No,No,No,30,2,15,0.8,0.07,0.03,0,0.63,0,0
Dr. Doug Sears Learning Center,31.1,Temple City Unified,Temple City,91780,Los Angeles County,No,No,No,No,22,4.2,5.2,0.73,0,0,0.14,0.73,0,0
Academies of Education and Empowerment at Carson High,31.1,Los Angeles Unified,Carson,90745,Los Angeles County,Yes,No,No,No,539,23.2,23.1,0.7,0.18,0,0.19,0.54,0.07,0
Panorama High,31.1,Los Angeles Unified,Panorama City,91402,Los Angeles County,Yes,No,No,No,1135,50.5,22.4,0.94,0.02,0,0.06,0.89,0,0
Rancho Dominguez Preparatory,31.1,Los Angeles Unified,Long Beach,90810,Los Angeles County,Yes,No,No,No,813,38.3,21.2,0.79,0.21,0,0.07,0.67,0.03,0
Edison High,31,Stockton Unified,Stockton,95206,San Joaquin County,Yes,No,Yes,No,2267,75.5,30,0.75,0.11,0.02,0.16,0.66,0.01,0.02
Sierra Vista Charter High,31,Tulare Joint Union High,Tulare,93274,Tulare County,Yes,Yes,No,No,84,9,9.3,0.8,0.02,0.02,0.04,0.71,0,0.04
Alternative Learning Center,31,San Bernardino City Unified,Highland,92346,San Bernardino County,Yes,No,No,No,37,3,12.3,0.89,0.08,0.03,0,0.76,0,0.08
Elizabeth Learning Center,30.9,Los Angeles Unified,Cudahy,90201,Los Angeles County,Yes,No,No,No,1750,77,22.7,0.93,0,0,0,0.97,0,0
IDEA Center,30.8,Grossmont Union High,El Cajon,92020,San Diego County,Yes,No,No,No,177,14.5,12.1,0.69,0.05,0,0.02,0.43,0.01,0.11
Village High,30.8,Pleasanton Unified,Pleasanton,94566,Alameda County,Yes,No,No,No,113,11.4,9.9,0.32,0.04,0,0.08,0.27,0,0.05
Highlands High,30.8,Twin Rivers Unified,North Highlands,95660,Sacramento County,Yes,No,No,No,790,34.6,22.8,0.8,0.13,0.01,0.07,0.52,0.02,0.06
Hoopa Valley High,30.7,Klamath-Trinity Joint Unified,Hoopa,95546,Humboldt County,Yes,No,No,No,243,19.8,12.2,0.95,0,0.83,0,0.07,0.01,0.03
Perris High,30.6,Perris Union High,Perris,92571,Riverside County,Yes,No,No,No,2245,86.8,25.8,0.86,0.06,0,0.01,0.9,0,0.01
Bay Area Technology,30.5,Bay Area Technology District,Oakland,94605,Alameda County,Yes,Yes,No,No,299,12.8,23.3,0.54,0.36,0.01,0.03,0.53,0.01,0.01
Santa Cruz County Community,30.5,Santa Cruz County Office of Education,Santa Cruz,95060,Santa Cruz County,Yes,No,No,No,655,23.8,27.5,0.38,0.01,0.01,0,0.5,0,0.04
Avenal High,30.5,Reef-Sunset Unified,Avenal,93204,Kings County,Yes,No,No,No,615,27,22.7,0.9,0,0,0,0.98,0,0
Seaside High,30.5,Monterey Peninsula Unified,Seaside,93955,Monterey County,Yes,No,No,No,1121,55,20.3,0.69,0.06,0,0.09,0.7,0.03,0.04
Barstow High,30.4,Barstow Unified,Barstow,92311,San Bernardino County,Yes,No,No,No,1451,61.2,23.7,0.73,0.17,0.01,0.02,0.53,0.02,0.05
Carle (William C.) High (Continuation),30.4,Konocti Unified,Lower Lake,95457,Lake County,Yes,No,No,No,87,4,21.7,0.78,0.03,0.07,0,0.33,0.01,0.06
San Juan High,30.2,San Juan Unified,Citrus Heights,95610,Sacramento County,Yes,No,No,No,620,34.4,17.9,0.76,0.12,0.01,0.03,0.41,0.01,0.05
New Designs Charter School-Watts,30.2,New Designs Charter School-Watts District,Los Angeles,90061,Los Angeles County,Yes,Yes,No,No,400,10,40,0.93,0.53,0,0,0.46,0.01,0.01
Jesse M. Bethel High,30.2,Vallejo City Unified,Vallejo,94591,Solano County,No,No,No,No,1624,58.7,27.6,0.54,0.28,0.01,0.27,0.31,0.03,0.05
Monte Vista High/Cloud Campus,30.1,Newport-Mesa Unified,Costa Mesa,92627,Orange County,No,No,No,No,62,0.7,88.5,0.29,0,0,0.03,0.21,0.03,0.08
Highland High,30,Antelope Valley Union High,Palmdale,93551,Los Angeles County,Yes,No,Yes,No,2703,119,22.7,0.59,0.14,0,0.05,0.66,0,0.04
Crawford High,30,San Diego Unified,San Diego,92115,San Diego County,Yes,No,No,No,1119,48.5,23,0.9,0.29,0,0.21,0.44,0,0.03
Riley/New Dawn,30,San Diego Unified,San Diego,92111,San Diego County,Yes,No,No,No,183,21,8.7,0.8,0.21,0.01,0.02,0.51,0,0.09
James Monroe High,29.9,Los Angeles Unified,North Hills,91343,Los Angeles County,Yes,No,Yes,No,2071,93.8,22,0.88,0.04,0,0.05,0.89,0,0
Ambassador-Global Leadership,29.9,Los Angeles Unified,Los Angeles,90005,Los Angeles County,Yes,No,No,No,543,29.2,18.5,0.92,0.02,0,0.16,0.79,0,0
Greenfield High,29.9,South Monterey County Joint Union High,Greenfield,93927,Monterey County,Yes,No,No,No,1218,51.3,23.7,0.85,0,0,0.01,0.98,0,0
San Diego Science and Technology,29.8,San Diego Unified,San Diego,92101,San Diego County,Yes,No,Yes,No,773,35.8,21.5,0.79,0.09,0,0.03,0.78,0,0.04
Cabrillo High,29.8,Long Beach Unified,Long Beach,90810,Los Angeles County,Yes,No,Yes,No,2124,98.7,21.5,0.83,0.11,0,0.12,0.72,0.02,0.02
Adelanto High,29.6,Victor Valley Union High,Adelanto,92392,San Bernardino County,Yes,No,No,No,1854,69.8,26.5,0.86,0.23,0,0.01,0.68,0.01,0.03
David Starr Jordan Senior High,29.6,Los Angeles Unified,Los Angeles,90002,Los Angeles County,Yes,No,No,No,519,33.8,15.3,0.93,0.17,0,0,0.82,0,0
Valley High (Continuation),29.6,Dublin Unified,Dublin,94568,Alameda County,Yes,No,No,No,60,7,8.5,0.35,0.2,0,0.12,0.3,0,0.1
Alta Vista High,29.4,Mountain View-Los Altos Union High,Mountain View,94040,Santa Clara County,Yes,No,No,No,79,7.5,10.5,0.71,0.05,0,0.03,0.72,0.03,0
Arena High (Continuation),29.4,El Segundo Unified,El Segundo,90245,Los Angeles County,Yes,No,No,Yes,39,2,19.5,0.39,0.05,0,0.05,0.28,0.03,0.08
Oakview High (Alternative),29.4,Anderson Union High,Anderson,96007,Shasta County,Yes,No,No,No,101,3,33.6,0.64,0.02,0.09,0,0.17,0.02,0.05
Marco Antonio Firebaugh High,29.4,Lynwood Unified,Lynwood,90262,Los Angeles County,Yes,No,No,No,1693,75.1,22.5,0.89,0.05,0,0,0.94,0,0
Pacific Coast High (Continuation),29.4,Northern Humboldt Union High,Arcata,95521,Humboldt County,Yes,No,No,No,43,2.4,17.9,0.67,0.07,0.07,0,0.26,0,0.16
Animo South Los Angeles Charter,29.3,Animo South Los Angeles Charter District,Los Angeles,90047,Los Angeles County,Yes,Yes,No,No,610,29,21,0.91,0.23,0.01,0,0.75,0,0.01
Communication and Technical at Diego Rivera Learning Complex,29.3,Los Angeles Unified,Los Angeles,90001,Los Angeles County,Yes,No,No,No,496,24,20.6,0.93,0.05,0,0,0.93,0,0
John H. Glenn High,29.1,Norwalk-La Mirada Unified,Norwalk,90650,Los Angeles County,Yes,No,No,No,1248,65.7,18.9,0.86,0.03,0,0.03,0.9,0.01,0.02
Garey High,29.1,Pomona Unified,Pomona,91766,Los Angeles County,Yes,No,No,No,1787,72.3,24.7,0.95,0.02,0,0.02,0.95,0,0
Castle Rock,29.1,Del Norte County Office of Education,Crescent City,95531,Del Norte County,No,Yes,No,No,335,15,22.3,0.65,0.01,0.14,0.02,0.16,0,0.09
Hawthorne High,29.1,Centinela Valley Union High,Hawthorne,90250,Los Angeles County,Yes,No,No,No,1844,92.3,19.9,0.85,0.1,0,0.02,0.84,0,0.02
San Antonio High (Continuation),29,Claremont Unified,Claremont,91711,Los Angeles County,No,No,No,No,58,4.5,12.7,0.66,0.07,0,0.02,0.66,0,0.02
Grant Union High,28.9,Twin Rivers Unified,Sacramento,95838,Sacramento County,Yes,No,No,No,1987,90.5,21.9,0.8,0.19,0.01,0.16,0.53,0.03,0.04
Independence,28.9,Lodi Unified,Lodi,95242,San Joaquin County,No,No,No,No,191,7.4,25.5,0.59,0.06,0.01,0.25,0.35,0.01,0.05
Gardena Senior High,28.8,Los Angeles Unified,Gardena,90248,Los Angeles County,Yes,No,Yes,No,1363,64,21.2,0.85,0.23,0,0.06,0.68,0.01,0
be.tech,28.8,Manteca Unified,Manteca,95337,San Joaquin County,No,Yes,No,No,121,9.9,12.2,0.41,0.03,0.02,0.06,0.45,0,0.07
Mt. Diablo High,28.8,Mt. Diablo Unified,Concord,94520,Contra Costa County,Yes,No,No,No,1448,72.4,20,0.8,0.08,0,0.12,0.67,0.01,0.04
John C. Fremont Senior High,28.6,Los Angeles Unified,Los Angeles,90003,Los Angeles County,Yes,No,Yes,No,1980,83.8,23.6,0.95,0.09,0,0,0.9,0,0
Marin Oaks High,28.5,Novato Unified,Novato,94947,Marin County,Yes,No,No,No,71,6.8,10.4,0.69,0.06,0.01,0.03,0.68,0,0.03
ICEF View Park Preparatory High,28.5,ICEF View Park Preparatory High District,Los Angeles,90043,Los Angeles County,Yes,Yes,No,No,567,21.5,26.3,0.71,0.95,0,0,0.03,0,0.01
Mission View Public,28.5,Mission View Public District,Santa Clarita,91355,Los Angeles County,(n/a),Yes,No,No,238,17.3,13.7,0.55,0.04,0,0.03,0.61,0,0.05
Heritage Peak Charter,28.4,Heritage Peak Charter District,Rio Linda,95673,Sacramento County,Yes,Yes,No,No,1037,42.8,24.1,0.51,0.08,0.01,0.06,0.23,0,0.06
San Jacinto High,28.3,San Jacinto Unified,San Jacinto,92583,Riverside County,Yes,No,No,No,2676,111.5,23.9,0.72,0.08,0.02,0.03,0.73,0.01,0.03
Point Arena High,28.2,Point Arena Joint Union High,Point Arena,95468,Mendocino County,Yes,No,No,No,123,9.5,12.8,0.63,0,0.08,0.01,0.53,0,0.02
Rio Valley Charter,28.1,Rio Valley Charter District,Lodi,95240,San Joaquin County,Yes,Yes,No,No,833,31.5,26.4,0.57,0.07,0.01,0.08,0.33,0,0.08
Franklin High,28,Stockton Unified,Stockton,95215,San Joaquin County,Yes,No,Yes,No,2143,79.5,26.9,0.69,0.06,0.02,0.06,0.81,0,0.01
Valley Center Prep,28,Valley Center-Pauma Unified,Valley Center,92082,San Diego County,No,No,No,No,50,2,25,0.5,0.02,0.26,0.02,0.4,0,0.04
East Bakersfield High,28,Kern High,Bakersfield,93306,Kern County,Yes,No,No,No,2349,96.9,24.2,0.83,0.06,0.01,0.01,0.86,0,0
Mojave River Academy - National Trails,27.9,Mojave River Academy - National Trails District,Colton,92324,San Bernardino County,(n/a),Yes,No,No,351,16,21.9,0.74,0.03,0.02,0.01,0.71,0.01,0.05
Indio High,27.9,Desert Sands Unified,Indio,92201,Riverside County,Yes,No,Yes,No,2066,73.9,27.9,0.82,0.01,0,0.01,0.95,0,0.01
E. Los Angeles Renaiss Academy at Esteban E. Torres High #2,27.9,Los Angeles Unified,Los Angeles,90063,Los Angeles County,Yes,No,No,No,402,20,20.1,0.93,0,0,0,0.99,0,0
Century High,27.8,Santa Ana Unified,Santa Ana,92705,Orange County,Yes,No,No,No,1660,73.7,22.5,0.89,0,0,0.02,0.97,0,0
Stagg Senior High,27.7,Stockton Unified,Stockton,95207,San Joaquin County,Yes,No,Yes,No,1684,58.4,28.8,0.65,0.17,0.03,0.09,0.58,0.01,0.02
Belmont Senior High,27.7,Los Angeles Unified,Los Angeles,90026,Los Angeles County,Yes,No,No,No,860,43.5,19.7,0.91,0.02,0,0.07,0.88,0,0.01
Phoenix High (Continuation),27.7,Western Placer Unified,Lincoln,95648,Placer County,Yes,No,No,No,100,4.8,20.8,0.47,0.04,0,0.01,0.37,0,0.04
City Arts and Technical High,27.6,City Arts and Technical High District,San Francisco,94112,San Francisco County,Yes,Yes,No,No,276,16.2,17,0.76,0.16,0,0.08,0.64,0.01,0.05
Hiram W. Johnson High,27.5,Sacramento City Unified,Sacramento,95820,Sacramento County,Yes,No,No,No,1568,80,19.5,0.76,0.13,0,0.27,0.47,0.02,0.04
Santa Ana High,27.5,Santa Ana Unified,Santa Ana,92701,Orange County,Yes,No,No,No,3057,117.1,26,0.88,0,0,0,0.99,0,0
NAVA College Preparatory Academy,27.5,Los Angeles Unified,Los Angeles,90011,Los Angeles County,Yes,No,No,No,733,31.8,23,0.95,0.03,0,0,0.95,0,0
Leadership High,27.4,Leadership High District,San Francisco,94112,San Francisco County,Yes,Yes,No,No,324,18,18,0.64,0.13,0,0.03,0.73,0.02,0.08
McClellan High (Continuation),27.4,Center Joint Unified,Antelope,95843,Sacramento County,Yes,No,No,No,59,5,11.8,0.75,0.2,0.02,0.05,0.36,0,0.03
Magnolia High,27.2,Anaheim Union High,Anaheim,92804,Orange County,Yes,No,No,No,1702,72,23.6,0.87,0.02,0,0.14,0.76,0.01,0.01
Dominguez High,27.2,Compton Unified,Compton,90221,Los Angeles County,Yes,No,No,No,1787,79.7,22.4,0.86,0.11,0,0,0.87,0.01,0.01
Victor Valley High,27.1,Victor Valley Union High,Victorville,92395,San Bernardino County,Yes,No,No,No,1829,68.3,26.7,0.91,0.21,0,0.02,0.65,0.01,0.03
Performing Arts Community at Diego Rivera Learning Complex,27,Los Angeles Unified,Los Angeles,90001,Los Angeles County,Yes,No,No,No,522,20.5,25.4,0.96,0.09,0,0,0.91,0,0
John Muir High,27,Pasadena Unified,Pasadena,91103,Los Angeles County,Yes,No,No,No,879,45.1,19.4,0.71,0.25,0,0.02,0.69,0,0.02
Keith McCarthy Academy,27,Lake Elsinore Unified,Lake Elsinore,92530,Riverside County,No,No,No,Yes,264,13.1,20.1,0.65,0.06,0,0.01,0.52,0.01,0.05
Silverado High,27,Victor Valley Union High,Victorville,92392,San Bernardino County,Yes,No,No,No,2326,87.5,26.5,0.8,0.21,0,0.02,0.64,0.01,0.05
Mira Monte High,27,Kern High,Bakersfield,93307,Kern County,Yes,No,No,No,2468,101.5,24.3,0.92,0.05,0,0.01,0.89,0,0.01
McFarland High School Early College,27,McFarland Unified,Mc Farland,93250,Kern County,Yes,No,No,No,932,43.2,21.5,0.9,0,0,0.01,0.98,0,0
Downtown College Preparatory,26.9,Downtown College Preparatory District,San Jose,95110,Santa Clara County,Yes,Yes,No,No,488,21.5,22.6,0.83,0.01,0.03,0.01,0.91,0,0.01
Ron Hockwalt Academies (Continuation),26.9,Walnut Valley Unified,Walnut,91789,Los Angeles County,No,No,No,No,21,3.2,6.5,0.38,0.05,0,0.05,0.71,0,0
Val Verde Academy,26.9,Val Verde Unified,Moreno Valley,92551,Riverside County,Yes,No,No,Yes,116,7,16.5,0.76,0.16,0,0.02,0.63,0.01,0.03
Harold McAlister High (Opportunity),26.9,Los Angeles Unified,Los Angeles,90057,Los Angeles County,Yes,No,No,No,124,8.5,14.5,0.94,0.13,0,0.02,0.83,0,0
Inglewood High,26.9,Inglewood Unified,Inglewood,90301,Los Angeles County,Yes,No,No,No,830,33.9,24.4,0.87,0.33,0,0.01,0.64,0,0
Antioch High,26.9,Antioch Unified,Antioch,94509,Contra Costa County,Yes,No,No,No,2061,87.8,23.4,0.71,0.2,0.01,0.05,0.53,0.02,0.04
